,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,한국장학재단,교육,우체국쇼핑,쇼핑,경기지역화폐,금융,국세청 홈택스,도구,카트라이더 러쉬플러스,자동차 경주,카트라이더 러쉬플러스,자동차 경주
1,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,공영쇼핑 - 공영홈쇼핑,쇼핑,블레스 모바일,롤플레잉,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,새 천하를 열다 RED,기타,프렌즈타임,엔터테인먼트
2,Woodturning,시뮬레이션,샤이닝라이트,롤플레잉,ZOOM Cloud Meetings,비즈니스,Legends of Runeterra,카드,삼국연의M,전략,포코롱던전,퍼즐
3,국세청 홈택스,도구,대장장이 용병단 : 합성 방치형 RPG,롤플레잉,Monument Valley 2,퍼즐,ZOOM Cloud Meetings,비즈니스,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑
4,쿠팡 (Coupang),쇼핑,Netflix(넷플릭스),엔터테인먼트,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,Soccer wave,기타,VITA,동영상 플레이어/편집기,애니팡4,퍼즐
5,바비톡 - 대한민국 1등 성형앱 & 뷰티 커뮤니티,뷰티,Zombie Fight - Pvp battles,기타,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,현대카드 DIVE,뉴스/잡지,YouTube,동영상 플레이어/편집기,FaceApp,사진
6,Netflix(넷플릭스),엔터테인먼트,엘프:드래곤소환사,롤플레잉,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트
7,YouTube,동영상 플레이어/편집기,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Axe Hit Mania,기타,책략삼국지,전략,카카오톡 KakaoTalk,커뮤니케이션,YouTube,동영상 플레이어/편집기
8,토스,금융,AFK 아레나,롤플레잉,NetTools+ Pro,기타,쿠팡 (Coupang),쇼핑,Escape the clutches,기타,카카오톡 KakaoTalk,커뮤니케이션
9,카카오톡 KakaoTalk,커뮤니케이션,디즈니 팝 타운,퍼즐,밴드,소셜,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,Instagram,소셜,Instagram,소셜
10,카카오뱅크 - 같지만 다른 은행,금융,Rummikub,보드,Google Classroom,교육,토스,금융,TikTok 틱톡,동영상 플레이어/편집기,ZOOM Cloud Meetings,비즈니스
11,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,쿠팡 (Coupang),쇼핑,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북",교육,경기지역화폐,금융,네이버 - NAVER,도서/참고자료,네이버 - NAVER,도서/참고자료
12,Instagram,소셜,Slap Kings,액션,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,케페우스M,롤플레잉,올리브영,쇼핑,TikTok 틱톡,동영상 플레이어/편집기
13,에이블리 - 셀럽마켓 모음앱,쇼핑,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,올리브영,쇼핑,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,배달의민족,식음료,배달의민족,식음료
14,브랜디 - 여성들의 쇼핑맛집,쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,현대카드 DIVE,뉴스/잡지,언니의파우치,기타,SODA 소다 - Natural Beauty Camera,사진,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션
15,(New) 우리은행 우리WON뱅킹,금융,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Lara Croft GO,퍼즐,내 곁에 국민연금,금융,Facebook,소셜,쿠팡 (Coupang),쇼핑
16,배달의민족,식음료,Amway,비즈니스,에이블리 - 셀럽마켓 모음앱,쇼핑,Instagram,소셜,"네이버 지도, 내비게이션",여행 및 지역정보,Tangle Master 3D,퍼즐
17,네이버 - NAVER,도서/참고자료,배달의민족,식음료,에브리싱 No. 1 스마트 노래방,음악/오디오,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북",교육,뮤 아크엔젤,롤플레잉,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어
18,SODA 소다 - Natural Beauty Camera,사진,가짜톡 - 내맘대로 여친 남친 만들기,엔터테인먼트,후궁의 법칙,롤플레잉,YouTube,동영상 플레이어/편집기,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,"AI 토익 튜터, 산타",교육
19,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,아트닷컴 A-RT.COM - ABC마트의 새로운 통합 사이트,쇼핑,쿠팡 (Coupang),쇼핑,왈라뷰(wallaVU) – 뷰티콘텐츠 쇼핑몰,기타,국세청 홈택스,도구,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑
20,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,ZOOM Cloud Meetings,비즈니스,핀크 Finnq,금융,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,Messenger,커뮤니케이션,FIFA Mobile,스포츠
21,Rummikub,보드,도와줘! 엔즈,어드벤처,카카오뱅크 - 같지만 다른 은행,금융,카카오톡 KakaoTalk,커뮤니케이션,ZOOM Cloud Meetings,비즈니스,Facebook,소셜
22,Facebook,소셜,"키즈노트::유치원,어린이집,학원 필수 앱!",커뮤니케이션,배달의민족,식음료,리브메이트,금융,에이블리 - 셀럽마켓 모음앱,쇼핑,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보
23,"네이버 지도, 내비게이션",여행 및 지역정보,배틀그라운드,액션,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,카카오뱅크 - 같지만 다른 은행,금융,네이버 웹툰 - Naver Webtoon,만화,토스,금융
24,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,배달요기요,식음료,Instagram,소셜,네이버 - NAVER,도서/참고자료,어비스 호라이즌,롤플레잉,에이블리 - 셀럽마켓 모음앱,쇼핑
25,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,Push em all,액션,복지로,건강/운동,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,카카오뱅크 - 같지만 다른 은행,금융
26,NH스마트뱅킹,금융,오늘도 환생,롤플레잉,리브메이트,금융,배달의민족,식음료,쿠팡 (Coupang),쇼핑,모바일 관세청,비즈니스
27,TikTok 틱톡,동영상 플레이어/편집기,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,모바일 관세청,비즈니스,SNOW 스노우,사진,Messenger,커뮤니케이션
28,Messenger,커뮤니케이션,랜덤 다이스(Random Dice) : PvP 디펜스,전략,토스,금융,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,배달요기요,식음료,"네이버 지도, 내비게이션",여행 및 지역정보
29,네이버 웹툰 - Naver Webtoon,만화,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,TikTok 틱톡,동영상 플레이어/편집기,TikTok 틱톡,동영상 플레이어/편집기,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,VITA,동영상 플레이어/편집기
30,랜덤 다이스(Random Dice) : PvP 디펜스,전략,카카오뱅크 - 같지만 다른 은행,금융,Save The Girl!,기타,ASMR Slicing,기타,멜론,음악/오디오,네이버 웹툰 - Naver Webtoon,만화
31,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,Gmail,커뮤니케이션,YouTube,동영상 플레이어/편집기,"네이버 지도, 내비게이션",여행 및 지역정보,스타벅스,엔터테인먼트,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보
32,ISP/페이북,금융,Instagram,소셜,SODA 소다 - Natural Beauty Camera,사진,SODA 소다 - Natural Beauty Camera,사진,카카오뱅크 - 같지만 다른 은행,금융,멜론,음악/오디오
33,텐바이텐 – 디자인 쇼핑몰 10x10,쇼핑,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,아트닷컴 A-RT.COM - ABC마트의 새로운 통합 사이트,쇼핑,밴드,소셜,전란: 천하쟁패,기타,Chrome: 빠르고 안전한 브라우저,커뮤니케이션
34,SNOW 스노우,사진,YouTube,동영상 플레이어/편집기,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,"비플제로페이 - 서울사랑상품권,온누리상품권,지역사랑상품",기타,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,Cube Surfer!,아케이드
35,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,Discord - 게이머를 위한 메신저,커뮤니케이션,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,핀크 Finnq,금융,판타지타운,캐주얼 게임,SODA 소다 - Natural Beauty Camera,사진
36,멜론,음악/오디오,네이버 - NAVER,도서/참고자료,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,멜론,음악/오디오,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,밴드,소셜
37,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,밴드,소셜,카카오톡 KakaoTalk,커뮤니케이션,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,서울자전거 따릉이 (Seoul Public Bike),지도/내비게이션,배달요기요,식음료
38,배달요기요,식음료,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,모바일 관세청,비즈니스,Mario Kart Tour,액션,토스,금융,브랜디 - 여성들의 쇼핑맛집,쇼핑
39,썸원 Sumone - 커플 다이어리,라이프스타일,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,배달요기요,식음료,에이블리 - 셀럽마켓 모음앱,쇼핑,모바일 관세청,비즈니스,SNOW 스노우,사진
40,네이버 파파고 - AI 통번역,도구,농협몰,쇼핑,네이버 - NAVER,도서/참고자료,Fonts,Utilities,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑
41,카카오페이,금융,TikTok 틱톡,동영상 플레이어/편집기,판타지타운,캐주얼 게임,콴다 - 400만 다운로드 수학 공부앱,교육,Tower Run,아케이드,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진
42,CJ ONE,라이프스타일,SODA 소다 - Natural Beauty Camera,사진,클래스팅 - 학교 플랫폼,교육,GalaxyPassway-RotaryLink,기타,전쟁의 연가: 전연,롤플레잉,合成精灵,기타
43,배틀그라운드,액션,카카오톡 KakaoTalk,커뮤니케이션,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,카카오페이,금융,밴드,소셜,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기
44,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,에브리타임 - 시간표 & 대학교 커뮤니티,소셜,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,NAVER VIBE (바이브),음악/오디오,배틀그라운드,액션,쿠팡이츠 - 맛있는 음식을 빠르고 편하게,식음료
45,밴드,소셜,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,코브라 브라우저,기타,T map for SK,Navigation,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보
46,에브리타임 - 시간표 & 대학교 커뮤니티,소셜,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,스마트 공지시스템 e알리미,커뮤니케이션,iMND 복지포털,기타,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,스타벅스,엔터테인먼트
47,다방 - 대한민국 부동산 매물 최다보유,부동산/홈 인테리어,마켓컬리-내일의 장보기,식음료,서울자전거 따릉이 (Seoul Public Bike),지도/내비게이션,네이버 웹툰 - Naver Webtoon,만화,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,Google,도구
48,Google,도구,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,한국투자증권 (스마트폰 계좌개설),금융,Nox Lucky Wallpaper,기타,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북",교육,Q-Net 큐넷(자격의 모든 것),교육
49,KB국민은행 스타뱅킹,금융,Draw Climber,아케이드,Cisco Webex Meetings,비즈니스,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,Google,도구,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑
50,명일방주,전략,Facebook,소셜,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,Facebook,소셜,핀크 Finnq,금융,타임커머스 티몬,쇼핑
51,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,Parking Jam 3D,퍼즐,마켓컬리-내일의 장보기,식음료,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,마켓컬리-내일의 장보기,식음료
52,Find Out – 숨은 물건 찾기,퍼즐,현대카드 DIVE,뉴스/잡지,Google,도구,Dart Warrior: Zombie Shooting,캐주얼 게임,Discord - 게이머를 위한 메신저,커뮤니케이션,Pull Him Out,퍼즐
53,판타지타운,캐주얼 게임,Google,도구,부산 동백전,금융,배달요기요,식음료,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,카카오페이,금융
54,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보,(New) 우리은행 우리WON뱅킹,금융,Discord - 게이머를 위한 메신저,커뮤니케이션,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,네이버 클라우드 - NAVER Cloud,생산성,네이버 파파고 - AI 통번역,도구
55,모바일 관세청,비즈니스,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,"네이버 지도, 내비게이션",여행 및 지역정보,NH스마트뱅킹,금융,Draw Climber,아케이드,알바몬 맞춤알바,비즈니스
56,Pull the Pin,퍼즐,타임커머스 티몬,쇼핑,广告主的恶梦,기타,Messenger,커뮤니케이션,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,Discord - 게이머를 위한 메신저,커뮤니케이션
57,알바몬 맞춤알바,비즈니스,8 Ball Pool,스포츠,Brain Test: 트리키 퍼즐,퀴즈,KB국민은행 스타뱅킹,금융,Gmail,커뮤니케이션,TheDayBefore (디데이 위젯),라이프스타일
58,마켓컬리-내일의 장보기,식음료,마피아42,전략,Rummikub,보드,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,카카오페이,금융,네이버 클라우드 - NAVER Cloud,생산성
59,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,Snapseed,사진,RNI Films,Photo & Video,Google,도구,지니 뮤직 - genie,음악/오디오,T map for SK,Navigation
60,네이버 클라우드 - NAVER Cloud,생산성,숨바꼭질 온라인 - 실시간 숨바꼭질,아케이드,카카오페이,금융,네이버 파파고 - AI 통번역,도구,FLO – 플로,음악/오디오,핀크 Finnq,금융
61,LIFEPLUS,라이프스타일,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,"비플제로페이 - 서울사랑상품권,온누리상품권,지역사랑상품",기타,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,여행 및 지역정보
62,지도,여행 및 지역정보,Messenger,커뮤니케이션,Gmail,커뮤니케이션,Gmail,커뮤니케이션,ISP/페이북,금융,Gmail,커뮤니케이션
63,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,ISP/페이북,금융,(New) 우리은행 우리WON뱅킹,금융,T map for SK,Navigation,Meitu 메이투 - 뷰티 셀카 / 동영상 기능 / 재밌는 보정 / 사진 편집,사진,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어
64,쿠키런 for Kakao,어드벤처,네이버 웹툰 - Naver Webtoon,만화,(공식) 버거킹 BURGER KING®KOREA,라이프스타일,V LIVE,엔터테인먼트,안전디딤돌,라이프스타일,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성
65,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,토스,금융,텔레그램 공식 앱 Telegram,커뮤니케이션,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,TheDayBefore (디데이 위젯),라이프스타일,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑
66,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,NH스마트뱅킹,금융,멜론,음악/오디오,SNOW 스노우,사진,T world,라이프스타일,썸원 Sumone - 커플 다이어리,라이프스타일
67,TheDayBefore (디데이 위젯),라이프스타일,쿵야 캐치마인드,퀴즈,Facebook,소셜,Discord - 게이머를 위한 메신저,커뮤니케이션,네이버 파파고 - AI 통번역,도구,코레일톡,여행 및 지역정보
68,CJ대한통운 택배,라이프스타일,Dentist Bling,시뮬레이션,국세청 홈택스,도구,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,넥슨플레이 – 넥슨 게이머의 필수 앱,커뮤니케이션
69,코레일톡,여행 및 지역정보,판타지타운,캐주얼 게임,ISP/페이북,금융,(New) 우리은행 우리WON뱅킹,금융,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,배틀그라운드,액션
70,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,라스트오더 - 오늘의 마감세일,식음료,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,Go Knots 3D,기타,KREAM 크림,쇼핑,ISP/페이북,금융
71,쿠키런: 오븐브레이크,아케이드,Mario Kart Tour,액션,네이버 파파고 - AI 통번역,도구,Google 드라이브,생산성,YouTube Music,음악/오디오,KB국민은행 스타뱅킹,금융
72,Gmail,커뮤니케이션,호텔 엠파이어 타이쿤;방치;게임;경영자;시뮬레이터,시뮬레이션,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,네이버 클라우드 - NAVER Cloud,생산성,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,"PASS by SK TELECOM(구, T인증)",금융
73,스마트위택스,금융,카카오페이,금융,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,ISP/페이북,금융,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기
74,Wood Shop,기타,힐링 타일 - 기타와 피아노,음악,Perfect Cream,기타,CJ대한통운 택배,라이프스타일,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,교육,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,교육
75,꽃피는 달빛,시뮬레이션,Sudoku Natural,기타,SNOW 스노우,사진,마켓컬리-내일의 장보기,식음료,랜덤 다이스(Random Dice) : PvP 디펜스,전략,콴다 - 400만 다운로드 수학 공부앱,교육
76,i-ONE Bank - IBK기업은행,금융,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,헬로우봇 - AI 사주・타로・상담,소셜,정부24(구 민원24),생산성,카카오내비,지도/내비게이션,피구왕통키M,롤플레잉
77,FLO – 플로,음악/오디오,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,배틀그라운드,액션,삼성카드,금융,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",생산성,정부24(구 민원24),생산성
78,카카오뮤직,음악/오디오,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,NH스마트뱅킹,금융,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,UNIQLO KR,라이프스타일,궁3D,롤플레잉
79,[공식]고속버스 티머니,지도/내비게이션,모두의마블,보드,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,교육,배틀그라운드,액션,KB국민은행 스타뱅킹,금융,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구
80,트리플 - 해외여행 가이드,여행 및 지역정보,R5,롤플레잉,아프리카TV - AfreecaTV,동영상 플레이어/편집기,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,NH스마트뱅킹,금융
81,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,대한민국 청와대,생산성,네이버 웹툰 - Naver Webtoon,만화,왓챠플레이,엔터테인먼트,Wobble Man,기타,지니 뮤직 - genie,음악/오디오
82,지니 뮤직 - genie,음악/오디오,네이버 클라우드 - NAVER Cloud,생산성,Messenger,커뮤니케이션,꿈의 정원 (Gardenscapes),캐주얼 게임,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,T world,라이프스타일
83,Seezn(시즌),엔터테인먼트,브랜디 - 여성들의 쇼핑맛집,쇼핑,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,와디즈(wadiz) - 펀딩으로 있게하자,소셜,브랜디 - 여성들의 쇼핑맛집,쇼핑,Meitu 메이투 - 뷰티 셀카 / 동영상 기능 / 재밌는 보정 / 사진 편집,사진
84,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,아프리카TV - AfreecaTV,동영상 플레이어/편집기,정부24(구 민원24),생산성,서울자전거 따릉이 (Seoul Public Bike),지도/내비게이션,Pinterest (핀터레스트): 수백만개의 아이디어,소셜,FLO – 플로,음악/오디오
85,커피빈,식음료,와디즈(wadiz) - 펀딩으로 있게하자,소셜,타임커머스 티몬,쇼핑,CamScanner Free,Productivity,피카 - 가상 시뮬레이션 메신저,시뮬레이션,Google 드라이브,생산성
86,쇼핑을 바꾸는 쇼핑. G마켓,쇼핑,이마트몰 – emart mall,쇼핑,와디즈(wadiz) - 펀딩으로 있게하자,소셜,네이버 스마트보드 - Naver SmartBoard,도구,War of Kings-Attack or defense,기타,알바천국- 알바 구인구직 포털서비스,비즈니스
87,롯데마트 M쿠폰,쇼핑,멜론,음악/오디오,Nike Run Club,건강/운동,한컴오피스 viewer,생산성,트위터,뉴스/잡지,random2u,기타
88,스타일쉐어 - 신상 옷과 화장품 후기가 한 자리에,쇼핑,모바일 관세청,비즈니스,CamScanner Free,Productivity,Google Docs,Productivity,NH스마트뱅킹,금융,셀렉트샵 29CM,쇼핑
89,T world,라이프스타일,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,교육,NAVER VIBE (바이브),음악/오디오,KB국민 앱카드,금융,SoundCloud - 음악과 오디오,음악/오디오,YouTube Music,음악/오디오
90,스타벅스,엔터테인먼트,다음웹툰 - DAUM WEBTOON,만화,알바몬 맞춤알바,비즈니스,행아웃 Meet,생산성,콴다 - 400만 다운로드 수학 공부앱,교육,스톤에이지 월드,롤플레잉
91,V LIVE,엔터테인먼트,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,Spiral Roll,기타,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,Google 드라이브,생산성,"피터팬의좋은방구하기-원룸,투룸,원룸텔,쉐어하우스 수수료 없는 부동산 No.1",부동산/홈 인테리어
92,"PASS by U+(구, U+인증)",금융,지그재그 - No.1 여성쇼핑몰 모음앱,쇼핑,모바일증권 나무(계좌개설 겸용),금융,KB국민카드,금융,왓챠플레이,엔터테인먼트,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략
93,카카오페이지 KakaoPage,도서/참고자료,Continue on PC,Productivity,코브라 브라우저,기타,Nike Run Club,건강/운동,NAVER VIBE (바이브),음악/오디오,랜덤 다이스(Random Dice) : PvP 디펜스,전략
94,NH콕뱅크,금융,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,캐시워크 - 적립형 만보기 첫화면,건강/운동,캐시워크 - 적립형 만보기 첫화면,건강/운동,Nike Run Club,건강/운동,왓챠플레이,엔터테인먼트
95,Rhythm Hop 3D,기타,쿠키런: 오븐브레이크,아케이드,네이버 클라우드 - NAVER Cloud,생산성,코레일톡,여행 및 지역정보,캐시워크 - 적립형 만보기 첫화면,건강/운동,Pinterest (핀터레스트): 수백만개의 아이디어,소셜
96,KB국민카드,금융,Hunter Assassin,액션,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",라이프스타일,아프리카TV - AfreecaTV,동영상 플레이어/편집기,쏘카 - 1등 카셰어링,지도/내비게이션
97,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,왓챠플레이,엔터테인먼트,"PASS by U+(구, U+인증)",금융,멜론 아지톡 - 우리 모두는 누군가의 팬이다,소셜,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,전역일계산기 군돌이 | 이쁘고 심플한 디자인,Lifestyle
98,Zenly 젠리 - 친한 친구끼리,소셜,SNOW 스노우,사진,FLO – 플로,음악/오디오,Google Classroom,교육,네이버 스마트보드 - Naver SmartBoard,도구,(New) 우리은행 우리WON뱅킹,금융
99,NAVER VIBE (바이브),음악/오디오,올리브영,쇼핑,Pinterest (핀터레스트): 수백만개의 아이디어,소셜,i-ONE Bank - IBK기업은행,금융,코레일톡,여행 및 지역정보,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기
