,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,국세청 홈택스,도구,Magic Booster - 제일 좋아하는 청리도구,도구,Samsung Notes,생산성,배달의민족,식음료,Snapchat,소셜,i-ONE Bank - IBK기업은행,금융,토스,금융,Google Play AR 서비스,도구,토스,금융,(New) 우리은행 우리WON뱅킹,금융,사용자 휴대폰 도우미 - Windows와 연결,생산성,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보
1,TikTok 틱톡,동영상 플레이어/편집기,배달요기요,식음료,NH스마트뱅킹,금융,SRT - 수서고속철도(NEW),여행 및 지역정보,i-ONE Bank - IBK기업은행,금융,다이소 멤버십,라이프스타일,Samsung Notes,생산성,"T연락처 - 주소록 실시간 백업, 114 검색",도구,(New) 우리은행 우리WON뱅킹,금융,SNOW 스노우,사진,토스,금융,Netflix(넷플릭스),엔터테인먼트
2,Netflix(넷플릭스),엔터테인먼트,"커넥츠: 무료 공부질문 앱-500만 다운로드 (문제해설, 노하우, 과외, 인강)",교육,삼성 음성 녹음,도구,Super Magic Cleaner - 안드로이드 클리너 휴대폰 쿨러 안티바이러스,도구,국세청 홈택스,도구,토스,금융,카카오톡 KakaoTalk,커뮤니케이션,홈플러스 더 클럽,쇼핑,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,토스,금융,Samsung Notes,생산성,Instagram,소셜
3,NH스마트뱅킹,금융,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,배달의민족,식음료,호갱노노,부동산/홈 인테리어,삼성 음성 녹음,도구,V3 Mobile Plus 2.0,도구,스마트주택금융,금융,KB국민은행 스타뱅킹,금융,(New) 우리은행 우리WON뱅킹,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑
4,카카오뱅크 - 같지만 다른 은행,금융,"Super Junk Cleaner - 휴대폰 쿨러, 안드로이드 클리너, 배터리 절약",도구,토스,금융,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,VG 기업용 SDK 2.0,도구,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Wish - 쇼핑은 즐겁다,쇼핑,(New) 우리은행 우리WON뱅킹,금융
5,카카오톡 KakaoTalk,커뮤니케이션,"네이버 지도, 내비게이션",여행 및 지역정보,카카오뱅크 - 같지만 다른 은행,금융,NH스마트뱅킹,금융,Samsung Smart Switch Mobile,도구,네이버 - NAVER,도서/참고자료,호갱노노,부동산/홈 인테리어,배달요기요,식음료,카카오톡 KakaoTalk,커뮤니케이션,Wish - 쇼핑은 즐겁다,쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,배달의민족,식음료
6,V3 Mobile Plus 2.0,도구,V3 Mobile Plus 2.0,도구,네이버 - NAVER,도서/참고자료,국세청 홈택스,도구,일기 예보 2020 - 실시간 날씨,날씨,Samsung Smart Switch Mobile,도구,Samsung Smart Switch Mobile,도구,SRT - 수서고속철도(NEW),여행 및 지역정보,Instagram,소셜,사용자 휴대폰 도우미 - Windows와 연결,생산성,Instagram,소셜,배달요기요,식음료
7,원더쇼핑:인기쇼핑몰/핫딜/여행쿠폰/웹툰/위메프투어/위메프페이,쇼핑,네이버 - NAVER,도서/참고자료,Samsung Smart Switch Mobile,도구,Samsung Smart Switch Mobile,도구,NH스마트뱅킹,금융,V3 Mobile Plus 2.0,도구,TikTok 틱톡,동영상 플레이어/편집기,쿠팡 (Coupang),쇼핑,Samsung Smart Switch Mobile,도구,어카운트인포-계좌정보통합관리,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,네이버 - NAVER,도서/참고자료
8,쿠팡 (Coupang),쇼핑,NH스마트뱅킹,금융,V3 Mobile Plus 2.0,도구,SODA 소다 - Natural Beauty Camera,사진,밴드,소셜,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Wish - 쇼핑은 즐겁다,쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보,네이버 - NAVER,도서/참고자료,Samsung Smart Switch Mobile,도구,NH콕뱅크,금융,쿠팡 (Coupang),쇼핑
9,네이버 - NAVER,도서/참고자료,Samsung Smart Switch Mobile,도구,"미세미세 - 미세먼지, WHO기준, 알람, 위젯, 날씨, 지도",날씨,쿠팡 (Coupang),쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Instagram,소셜,배달의민족,식음료,T map - 내비게이션 / 지도,지도/내비게이션,V3 Mobile Plus 2.0,도구,Instagram,소셜,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보,"네이버 지도, 내비게이션",여행 및 지역정보
10,Samsung Smart Switch Mobile,도구,쿠팡 (Coupang),쇼핑,Samsung Members,도구,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,쿠팡 (Coupang),쇼핑,NH스마트뱅킹,금융,쿠팡 (Coupang),쇼핑,Facebook,소셜,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,쿠팡 (Coupang),쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보,YouTube Kids,엔터테인먼트
11,NAVER VIBE (바이브),음악/오디오,한컴오피스 viewer,생산성,바이오인증 공동앱,금융,Turbo VPN –무제한 무료 VPN & 빠른 보안 프록시 접속,도구,카카오톡 KakaoTalk,커뮤니케이션,쿠팡 (Coupang),쇼핑,V3 Mobile Plus 2.0,도구,타임커머스 티몬,쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보,NH스마트뱅킹,금융,Samsung Smart Switch Mobile,도구,카카오톡 KakaoTalk,커뮤니케이션
12,배달의민족,식음료,"T map 택시 - 티맵택시,T맵택시",지도/내비게이션,쿠팡 (Coupang),쇼핑,V3 Mobile Plus 2.0,도구,V3 Mobile Plus 2.0,도구,배달요기요,식음료,일기 예보 2020 - 실시간 날씨,날씨,카카오내비,지도/내비게이션,삼성 음성 녹음,도구,"네이버 지도, 내비게이션",여행 및 지역정보,NAVER VIBE (바이브),음악/오디오,팝콘티비,엔터테인먼트
13,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,나침반,도구,BNK부산은행 모바일뱅킹,금융,카카오뱅크 - 같지만 다른 은행,금융,4shared,엔터테인먼트,배달의민족,식음료,배달요기요,식음료,Google Play 게임,엔터테인먼트,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,배달의민족,식음료,NH스마트뱅킹,금융,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션
14,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,TikTok 틱톡,동영상 플레이어/편집기,한컴오피스 viewer,생산성,Netflix(넷플릭스),엔터테인먼트,TikTok 틱톡,동영상 플레이어/편집기,Google Play 게임,엔터테인먼트,i-ONE Bank - IBK기업은행,금융,4shared,엔터테인먼트,배달요기요,식음료,V3 Mobile Plus 2.0,도구,V3 Mobile Plus 2.0,도구,Samsung Smart Switch Mobile,도구
15,SODA 소다 - Natural Beauty Camera,사진,카카오뱅크 - 같지만 다른 은행,금융,한국투자증권 (스마트폰 계좌개설),금융,"네이버 지도, 내비게이션",여행 및 지역정보,토스,금융,TikTok 틱톡,동영상 플레이어/편집기,FaceApp,사진,Wish - 쇼핑은 즐겁다,쇼핑,어카운트인포-계좌정보통합관리,금융,배달요기요,식음료,쿠팡 (Coupang),쇼핑,TikTok Wall Picture,동영상 플레이어/편집기
16,Instagram,소셜,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,밴드,소셜,배달요기요,식음료,SRT - 수서고속철도(NEW),여행 및 지역정보,"네이버 지도, 내비게이션",여행 및 지역정보,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,FLO – 플로,음악/오디오,Wish - 쇼핑은 즐겁다,쇼핑,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,밴드,소셜,토스,금융
17,뱅크샐러드,금융,Netflix(넷플릭스),엔터테인먼트,TikTok 틱톡,동영상 플레이어/편집기,TikTok 틱톡,동영상 플레이어/편집기,배달요기요,식음료,일기 예보 2020 - 실시간 날씨,날씨,해피포인트,라이프스타일,TikTok 틱톡,동영상 플레이어/편집기,T map - 내비게이션 / 지도,지도/내비게이션,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,디지털 웰빙,도구,V3 Mobile Plus 2.0,도구
18,KB국민은행 스타뱅킹,금융,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,"네이버 지도, 내비게이션",여행 및 지역정보,Instagram,소셜,Samsung Notes,생산성,4shared,엔터테인먼트,Netflix(넷플릭스),엔터테인먼트,해피포인트,라이프스타일,Netflix(넷플릭스),엔터테인먼트,네이버 - NAVER,도서/참고자료,Netflix(넷플릭스),엔터테인먼트,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트
19,한컴오피스 viewer,생산성,Instagram,소셜,Droid-X III 백신 (기업용),도구,CGV,엔터테인먼트,Instagram,소셜,FLO – 플로,음악/오디오,Instagram,소셜,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,TikTok 틱톡,동영상 플레이어/편집기,Gmail,커뮤니케이션,국세청 홈택스,도구,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기
20,배달요기요,식음료,SODA 소다 - Natural Beauty Camera,사진,배달요기요,식음료,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,SODA 소다 - Natural Beauty Camera,사진,밴드,소셜,"네이버 지도, 내비게이션",여행 및 지역정보,NH콕뱅크,금융,배달의민족,식음료,SRT - 수서고속철도(NEW),여행 및 지역정보,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,카카오뱅크 - 같지만 다른 은행,금융
21,토스,금융,Google Play 게임,엔터테인먼트,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,4shared,엔터테인먼트,카카오뱅크 - 같지만 다른 은행,금융,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,홈플러스 더 클럽,쇼핑,Messenger,커뮤니케이션,Facebook,소셜,바이오인증 공동앱,금융,네이버 - NAVER,도서/참고자료,Wish - 쇼핑은 즐겁다,쇼핑
22,네이버 파파고 - AI 통번역,도구,국세청 홈택스,도구,Instagram,소셜,Facebook,소셜,"네이버 지도, 내비게이션",여행 및 지역정보,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,KB국민은행 스타뱅킹,금융,NH스마트뱅킹,금융,Netflix(넷플릭스),엔터테인먼트,Google 렌즈,도구,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보
23,"네이버 지도, 내비게이션",여행 및 지역정보,배달의민족,식음료,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,토스,금융,다이소 멤버십,라이프스타일,Facebook,소셜,T map - 내비게이션 / 지도,지도/내비게이션,카카오페이지 KakaoPage,도서/참고자료,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,배달의민족,식음료,롯데홈쇼핑 – 롯데 ON,쇼핑
24,밴드,소셜,BNK부산은행 모바일뱅킹,금융,Facebook,소셜,카카오페이지 KakaoPage,도서/참고자료,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,T map - 내비게이션 / 지도,지도/내비게이션,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,롯데홈쇼핑 – 롯데 ON,쇼핑,쿠팡 (Coupang),쇼핑,Google TTS(텍스트 음성 변환),도구,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진
25,SSG.COM,쇼핑,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,SODA 소다 - Natural Beauty Camera,사진,일기 예보 2020 - 실시간 날씨,날씨,T map - 내비게이션 / 지도,지도/내비게이션,Wish - 쇼핑은 즐겁다,쇼핑,Facebook,소셜,[공식]고속버스 티머니,지도/내비게이션,밴드,소셜,한컴오피스 viewer,생산성,터치엔 엠백신 for Web(기업용),금융,SNOW 스노우,사진
26,Facebook,소셜,밴드,소셜,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,UNIQLO KR,라이프스타일,"송가인 노래듣기 - 히트곡, 방송 영상, 공연 영상, 7080 트로트 메들리 감상",음악/오디오,SODA 소다 - Natural Beauty Camera,사진,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,Messenger,커뮤니케이션,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,모바일 관세청,비즈니스,TikTok 틱톡,동영상 플레이어/편집기
27,튜브박스 - 음악 동영상 다운로드,동영상 플레이어/편집기,Total Cleaner,도구,네이버 파파고 - AI 통번역,도구,밴드,소셜,삼성 음성 녹음,도구,SRT - 수서고속철도(NEW),여행 및 지역정보,카카오뱅크 - 같지만 다른 은행,금융,NH멤버스,라이프스타일,SRT - 수서고속철도(NEW),여행 및 지역정보,APT2you,부동산/홈 인테리어,Google TTS(텍스트 음성 변환),도구,에이블리 - 셀럽마켓 모음앱,쇼핑
28,Google Play 게임,엔터테인먼트,Intra,도구,마이 홈플러스,라이프스타일,메가박스(MEGABOX),엔터테인먼트,Facebook,소셜,Messenger,커뮤니케이션,SRT - 수서고속철도(NEW),여행 및 지역정보,멜론,음악/오디오,카카오내비,지도/내비게이션,터치엔 엠백신 for Web(기업용),금융,배달요기요,식음료,밴드,소셜
29,"Cut Cut - 사진편집어플, 자동 자르기, 얼굴 스왑 및 스티커",사진,토스,금융,Messenger,커뮤니케이션,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,Baby Maker: predicts baby face,엔터테인먼트,카카오뱅크 - 같지만 다른 은행,금융,4shared,엔터테인먼트,모바일 관세청,비즈니스,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,ANT Radio Service,커뮤니케이션,지도,여행 및 지역정보,T map - 내비게이션 / 지도,지도/내비게이션
30,Messenger,커뮤니케이션,네이버 파파고 - AI 통번역,도구,KB국민은행 스타뱅킹,금융,ISP/페이북,금융,한컴오피스 viewer,생산성,Netflix(넷플릭스),엔터테인먼트,Google Play 게임,엔터테인먼트,삼성카드,금융,Google Play 게임,엔터테인먼트,T map - 내비게이션 / 지도,지도/내비게이션,해피포인트,라이프스타일,코레일톡,여행 및 지역정보
31,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,Google Play 게임,엔터테인먼트,롯데시네마,엔터테인먼트,네이버 파파고 - AI 통번역,도구,네이버 파파고 - AI 통번역,도구,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보,뱅크샐러드,금융,코레일톡,여행 및 지역정보,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,KB국민은행 스타뱅킹,금융,Facebook,소셜
32,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,코레일톡,여행 및 지역정보,Netflix(넷플릭스),엔터테인먼트,Google Play 게임,엔터테인먼트,Baby Filter : Baby Photo,사진,SODA 소다 - Natural Beauty Camera,사진,NH스마트뱅킹,금융,현대카드,금융,음악바다 - 빠른 음악다운 플레이,라이프스타일,네이버 파파고 - AI 통번역,도구,ISP/페이북,금융,Google Play 게임,엔터테인먼트
33,요리백과 만개의레시피,식음료,NH콕뱅크,금융,배달의민족,식음료,카카오내비,지도/내비게이션,Messenger,커뮤니케이션,한컴오피스 viewer,생산성,코레일톡,여행 및 지역정보,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,SODA 소다 - Natural Beauty Camera,사진,SODA 소다 - Natural Beauty Camera,사진,T map - 내비게이션 / 지도,지도/내비게이션,NH스마트뱅킹,금융
34,스마트위택스,금융,Facebook,소셜,SNOW 스노우,사진,SNOW 스노우,사진,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,튜브다운 시즌2,기타,밴드,소셜,쿠팡이츠 - 맛있는 음식을 빠르고 편하게,식음료,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,코레일톡,여행 및 지역정보,ANT Radio Service,커뮤니케이션,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어
35,NH콕뱅크,금융,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,Amazon Assistant,쇼핑,Messenger,커뮤니케이션,Netflix(넷플릭스),엔터테인먼트,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,카카오뱅크 - 같지만 다른 은행,금융,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,Flipboard Briefing,뉴스/잡지,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보
36,[공식]고속버스 티머니,지도/내비게이션,Puffin Web Browser,커뮤니케이션,카카오내비,지도/내비게이션,한컴오피스 viewer,생산성,SNOW 스노우,사진,NH콕뱅크,금융,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,4shared,엔터테인먼트,모바일 관세청,비즈니스,카카오톡 KakaoTalk,커뮤니케이션,SODA 소다 - Natural Beauty Camera,사진
37,코레일톡,여행 및 지역정보,다방 - 대한민국 부동산 매물 최다보유,부동산/홈 인테리어,코레일톡,여행 및 지역정보,네이버 파파고 - AI 통번역,도구,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,카카오내비,지도/내비게이션,카카오내비,지도/내비게이션,바이오인증 공동앱,금융,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,ANT+ Plugins Service,건강/운동,ANT+ Plugins Service,건강/운동,SERIES - 네이버 시리즈,도서/참고자료
38,ISP/페이북,금융,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,카카오페이지 KakaoPage,도서/참고자료,코레일톡,여행 및 지역정보,현대카드,금융,"마사지프랜드-초특가 마사지,타이마사지,슈퍼특가,최저가할인이벤트",건강/운동,"첫화면 날씨 - 실시간 날씨, 미세먼지, 일기 예보, WHO기준",날씨,올리브영,쇼핑,네이버 파파고 - AI 통번역,도구,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,코레일톡,여행 및 지역정보,ISP/페이북,금융
39,마켓컬리-내일의 장보기,식음료,마켓컬리-내일의 장보기,식음료,멜론,음악/오디오,콴다 - 400만 다운로드 수학 공부앱,교육,NH콕뱅크,금융,"더더더 - 단속,정체,사고정보를  공유하는 소셜교통정보 서비스!",자동차,Messenger,커뮤니케이션,Google 번역,도구,SNOW 스노우,사진,롯데홈쇼핑 – 롯데 ON,쇼핑,네이버 파파고 - AI 통번역,도구,국세청 홈택스,도구
40,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,SSG.COM,쇼핑,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,날씨 오늘 - 라이브일기 예보 앱 2020,날씨,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,제주항공,여행 및 지역정보,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,카카오페이,금융,롯데홈쇼핑 – 롯데 ON,쇼핑,Flipboard Briefing,뉴스/잡지,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,카카오내비,지도/내비게이션
41,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,에브리타임 - 시간표 & 대학교 커뮤니티,소셜,뱅크샐러드,금융,Coreader- QR 코드 및 바코드 스캐너,엔터테인먼트,인천e음,금융,코레일톡,여행 및 지역정보,YouTube Kids,엔터테인먼트,토스,금융,i-ONE Bank - IBK기업은행,금융,밴드,소셜,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,4shared,엔터테인먼트
42,FLO – 플로,음악/오디오,Messenger,커뮤니케이션,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,Samsung Notes,생산성,ISP/페이북,금융,Snapchat,소셜,"손금 보기 - 아기, 노화 및 팜 스캔",엔터테인먼트,"T map 택시 - 티맵택시,T맵택시",지도/내비게이션,멜론,음악/오디오,Bigfoot: 수많은 게임들을 지원하는 게임 어시스턴트 앱,도구,알바몬 - 알바 채용 구인구직 취업정보검색,비즈니스,네이버 파파고 - AI 통번역,도구
43,카카오내비,지도/내비게이션,ISP/페이북,금융,히든프라이스 - 공동구매 / 특가 / 쇼핑,쇼핑,challa NEON: 인스타 틱톡 비디오 스토리 만들기,예술/디자인,롯데홈쇼핑 – 롯데 ON,쇼핑,ISP/페이북,금융,쿠팡이츠 - 맛있는 음식을 빠르고 편하게,식음료,네이버 웹툰 - Naver Webtoon,만화,ISP/페이북,금융,NAVER VIBE (바이브),음악/오디오,카카오내비,지도/내비게이션,[공식]고속버스 티머니,지도/내비게이션
44,SNOW 스노우,사진,"미세미세 - 미세먼지, WHO기준, 알람, 위젯, 날씨, 지도",날씨,ISP/페이북,금융,"Smart Radio FM – 무료 음악, 인터넷 & FM 라디오",음악/오디오,카카오내비,지도/내비게이션,롯데홈쇼핑 – 롯데 ON,쇼핑,네이버 파파고 - AI 통번역,도구,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,바이오인증 공동앱,금융,카카오뱅크 - 같지만 다른 은행,금융,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어
45,롯데홈쇼핑 – 롯데 ON,쇼핑,뱅크샐러드,금융,NH콕뱅크,금융,My oksusu,동영상 플레이어/편집기,Google Play 게임,엔터테인먼트,인천e음,금융,맥도날드,식음료,KB국민카드,금융,Google 번역,도구,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,카카오뱅크 - 같지만 다른 은행,금융,Samsung Notes,생산성
46,콴다 - 400만 다운로드 수학 공부앱,교육,SNOW 스노우,사진,현대카드,금융,롯데홈쇼핑 – 롯데 ON,쇼핑,이마트몰 – emart mall,쇼핑,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,SNOW 스노우,사진,CJ대한통운 택배,라이프스타일,한컴오피스 viewer,생산성,디바이스 케어,도구,멜론,음악/오디오,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보
47,삼성 음성 녹음,도구,"Smart Radio FM – 무료 음악, 인터넷 & FM 라디오",음악/오디오,콴다 - 400만 다운로드 수학 공부앱,교육,멜론,음악/오디오,마켓컬리-내일의 장보기,식음료,송가인 노래모음 완전무료 듣기 - 송가인 트로트 인기곡 모음,음악/오디오,[공식]고속버스 티머니,지도/내비게이션,Mi Fit,건강/운동,[공식]고속버스 티머니,지도/내비게이션,Google Play 게임,엔터테인먼트,SRT - 수서고속철도(NEW),여행 및 지역정보,Messenger,커뮤니케이션
48,SERIES - 네이버 시리즈,도서/참고자료,삼성닷컴,쇼핑,올원뱅크(All One Bank),금융,다이소 멤버십,라이프스타일,코레일톡,여행 및 지역정보,모바일 관세청,비즈니스,0한동,라이프스타일,Most - 올인원 카라이프 플랫폼 (SK네트웍스 모스트),지도/내비게이션,KB국민은행 스타뱅킹,금융,에이블리 - 셀럽마켓 모음앱,쇼핑,Samsung Experience Service,도구,알바천국- 알바 구인구직 포털서비스,비즈니스
49,서울시 세금납부 - 서울시 STAX,금융,[공식]고속버스 티머니,지도/내비게이션,QR 코드 리더/바코드 스캐너,도구,[공식]고속버스 티머니,지도/내비게이션,Samsung Members,도구,알바천국- 알바 구인구직 포털서비스,비즈니스,FLO – 플로,음악/오디오,롯데 ON - 롯데하이마트,쇼핑,뱅크샐러드,금융,i-ONE Bank - IBK기업은행,금융,한컴오피스 viewer,생산성,"PASS by SK TELECOM(구, T인증)",금융
